date,data
1,1067.375
2,1017.25
3,898.25
4,753.25
5,1060.5
6,1064.875
7,1069.25
8,1074.375
9,1049.125
10,900.75
11,783.625
12,1051.875
13,1032.0
14,1025.25
15,1050.5
16,1079.625
17,883.625
18,762.125
19,1017.5
20,1051.875
21,1065.875
22,1033.0
23,1046.625
24,902.375
25,777.75
26,1027.625
27,983.125
28,1010.625
29,1016.25
30,1040.625
