date,data
01,759.0
02,773.3125
03,593.75
04,523.375
05,763.125
06,768.8125
07,743.75
08,750.0625
09,751.625
10,593.9375
11,500.5
12,747.0
13,738.8125
14,782.4375
15,785.0625
16,777.25
17,596.375
18,487.0625
19,719.4375
20,767.75
21,765.25
22,755.3125
23,777.9375
24,605.1875
25,510.375
26,732.0625
27,747.5
28,749.625
29,758.1875
30,742.3125
