day,data
01,759
02,738
03,359
04,453
05,727
06,714
07,736
08,728
09,699
10,302
11,403
12,616
13,668
14,702
15,731
16,690
17,356
18,434
19,658
20,676
21,657
22,650
23,737
24,355
25,471
26,695
27,703
28,690
29,740
30,744
