day,data
1,532
2,479
3,331
4,306
5,502
6,479
7,513
8,508
9,515
10,381
11,312
12,464
13,493
14,502
15,517
16,529
17,368
18,306
19,498
20,500
21,518
22,532
23,501
24,380
25,297
26,496
27,439
28,484
29,513
30,559
