day,data
1,678
2,692
3,480
4,527
5,664
6,691
7,657
8,681
9,639
10,502
11,538
12,657
13,616
14,662
15,669
16,678
17,509
18,507
19,643
20,673
21,652
22,655
23,641
24,539
25,490
26,631
27,658
28,629
29,555
30,587
