day,data
1,261
2,242
3,195
4,186
5,250
6,230
7,246
8,246
9,249
10,221
11,177
12,246
13,240
14,258
15,263
16,250
17,206
18,188
19,231
20,239
21,249
22,234
23,242
24,206
25,173
26,250
27,255
28,232
29,222
30,256
