day,data
01,783
02,809
03,606
04,595
05,871
06,804
07,850
08,886
09,855
10,701
11,605
12,852
13,834
14,814
15,895
16,903
17,627
18,619
19,787
20,834
21,839
22,827
23,839
24,696
25,847
26,713
27,791
28,809
29,844
30,799
