OriginName,DestinationName,RecordedAtTime,VehicleLocation_Latitude,VehicleLocation_Longitude
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 07:34:24,40.674016,-73.735266
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 07:34:23,40.688117,-73.776449
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 07:34:23,40.702588,-73.791418
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 07:43:59,40.665608,-73.735181
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 07:44:25,40.680091,-73.753574
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 07:44:27,40.683783,-73.769895
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 07:53:32,40.674016,-73.735266
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 07:53:28,40.67953,-73.751092
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:04:12,40.704001,-73.793851
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:04:02,40.665869,-73.729914
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:14:09,40.692692,-73.7801
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:14:23,40.70167,-73.790465
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:23:42,40.702338,-73.80047
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:23:33,40.682452,-73.767433
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:23:57,40.686706,-73.774532
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:34:27,40.696296,-73.783203
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:34:01,40.679575,-73.75123
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:34:02,40.680151,-73.75428
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:44:32,40.681296,-73.765045
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:43:56,40.673593,-73.733815
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:44:10,40.704365,-73.793011
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:44:10,40.673836,-73.731176
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:54:00,40.677915,-73.745925
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:54:26,40.665605,-73.734751
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:54:11,40.69167,-73.779298
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:54:26,40.702407,-73.800218
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 08:54:16,40.665605,-73.734966
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:04:07,40.672167,-73.727949
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:04:17,40.679304,-73.757709
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:04:02,40.694228,-73.781354
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:13:19,40.674551,-73.736257
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:13:35,40.703011,-73.797217
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:13:40,40.679042,-73.760369
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:24:10,40.693072,-73.7804
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:24:23,40.6741,-73.727759
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:24:10,40.702343,-73.800451
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:34:13,40.678911,-73.759825
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:34:31,40.665914,-73.735934
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:34:13,40.696059,-73.782931
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:44:19,40.702697,-73.798698
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:44:14,40.675922,-73.740066
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:44:14,40.679769,-73.76183
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:54:00,40.702343,-73.800451
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:53:56,40.696514,-73.783502
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:53:45,40.665579,-73.730145
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 09:53:44,40.675401,-73.738513
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:03:29,40.69459,-73.781657
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:03:28,40.681527,-73.765512
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:03:34,40.665914,-73.735934
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:14:38,40.678936,-73.758737
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:14:08,40.675647,-73.739243
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:14:14,40.699581,-73.788347
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:24:39,40.674024,-73.73528
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:24:14,40.665608,-73.735181
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:24:18,40.681571,-73.765601
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:24:09,40.70319,-73.796464
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:34:10,40.665608,-73.735181
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:33:54,40.675937,-73.740112
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:33:50,40.692796,-73.780182
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:43:23,40.667,-73.729676
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:43:38,40.704376,-73.792979
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:43:31,40.67902,-73.760298
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:54:17,40.686233,-73.773868
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:54:12,40.6741,-73.729486
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 10:54:19,40.702333,-73.80049
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:04:25,40.677292,-73.744093
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:04:34,40.698431,-73.787048
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:14:26,40.702031,-73.801596
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 11:14:28,40.674108,-73.728047
