day,data
01,722
02,705
03,579
04,589
05,736
06,746
07,726
08,730
09,736
10,558
11,578
12,727
13,704
14,705
15,771
16,758
17,510
18,566
19,707
20,744
21,695
22,731
23,763
24,576
25,629
26,713
27,758
28,696
29,692
30,729
