day,data
1,357
2,244
3,239
4,216
5,357
6,325
7,356
8,372
9,346
10,228
11,200
12,359
13,356
14,362
15,358
16,333
17,247
18,179
19,329
20,308
21,344
22,352
23,352
24,183
25,195
26,358
27,355
28,321
29,329
30,308
