OriginName,DestinationName,RecordedAtTime,VehicleLocation.Latitude,VehicleLocation.Longitude
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:03:48,40.876032,-73.829543
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:03:39,40.873967,-73.879311
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:03:47,40.876105,-73.829748
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:03:54,40.878914,-73.885117
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:13:26,40.866115,-73.823104
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:13:53,40.877218,-73.86593
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:13:48,40.861022,-73.823984
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:13:30,40.8787,-73.87213
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:23:49,40.868141,-73.841769
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:23:27,40.868616,-73.842681
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:23:40,40.876582,-73.883387
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:33:22,40.877998,-73.823131
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:33:27,40.879876,-73.823521
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:33:51,40.878818,-73.873286
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:33:31,40.864262,-73.89432
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:43:12,40.872569,-73.851316
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:43:22,40.874379,-73.891417
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:53:11,40.877585,-73.829527
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 00:53:08,40.877147,-73.879746
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 01:03:24,40.875653,-73.861017
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 01:13:41,40.875974,-73.833785
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 01:23:00,40.869759,-73.826236
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 01:33:24,40.869381,-73.825899
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 06:13:28,40.865056,-73.893982
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 06:23:56,40.8744,-73.891465
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 06:33:47,40.864557,-73.894176
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 06:33:56,40.864865,-73.894058
VALENTINE AV/E 192 ST,CO-OP CITY EARHART LA via GUNHILL,2017-06-01 06:33:50,40.872031,-73.890086
