day,data
1,713
2,760
3,603
4,600
5,741
6,759
7,720
8,745
9,669
10,606
11,539
12,768
13,743
14,715
15,819
16,729
17,604
18,380
19,721
20,736
21,772
22,752
23,758
24,636
25,526
26,768
27,754
28,813
29,760
30,765
