day,data
01,277
02,277
03,48
04,49
05,282
06,278
07,267
08,270
09,288
10,49
11,57
12,259
13,284
14,283
15,273
16,291
17,48
18,58
19,238
20,265
21,242
22,262
23,269
24,50
25,57
26,255
27,270
28,283
29,248
30,257
