day,data
1,372
2,370
3,376
4,303
5,361
6,348
7,364
8,371
9,321
10,356
11,320
12,337
13,329
14,333
15,358
16,338
17,349
18,301
19,315
20,353
21,330
22,352
23,355
24,356
25,303
26,328
27,345
28,364
29,350
30,364
