day,data
1,856
2,871
3,694
4,576
5,877
6,837
7,820
8,810
9,782
10,657
11,543
12,841
13,742
14,798
15,833
16,813
17,664
18,535
19,744
20,843
21,844
22,773
23,849
24,623
25,589
26,813
27,796
28,823
29,749
30,806
