day,data
1,807
2,791
3,508
4,418
5,818
6,776
7,828
8,648
9,819
10,532
11,445
12,818
13,764
14,834
15,821
16,784
17,541
18,435
19,762
20,769
21,800
22,752
23,762
24,548
25,445
26,742
27,811
28,803
29,666
30,630
