day,data
1,636
2,625
3,398
4,223
5,570
6,537
7,595
8,578
9,539
10,377
11,156
12,527
13,574
14,596
15,611
16,563
17,386
18,228
19,489
20,567
21,546
22,467
23,612
24,447
25,220
26,530
27,542
28,554
29,617
30,538
