day,data
1,433
2,438
3,335
4,236
5,415
6,429
7,423
8,417
9,425
10,356
11,241
12,444
13,391
14,403
15,435
16,439
17,329
18,230
19,410
20,384
21,430
22,416
23,424
24,319
25,253
26,442
27,451
28,432
29,367
30,427
