OriginName,DestinationName,RecordedAtTime,VehicleLocation.Latitude,VehicleLocation.Longitude
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 00:03:29,40.644872,-74.017483
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 00:03:27,40.632233,-73.947037
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 00:13:40,40.645686,-74.023449
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 00:13:31,40.625122,-73.96524
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 00:23:36,40.637214,-73.995749
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 00:33:29,40.626368,-73.951638
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 00:33:37,40.645055,-74.017788
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 00:43:10,40.628656,-73.978543
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 00:53:14,40.638562,-73.997971
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 01:03:24,40.632349,-73.947159
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 01:13:33,40.62567,-73.956932
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 01:23:04,40.632238,-73.987501
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 01:33:08,40.644931,-74.014297
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 04:43:54,40.632271,-73.947077
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 04:53:57,40.634312,-73.949763
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:03:27,40.626615,-73.970511
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:13:25,40.634344,-73.949713
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:13:31,40.637707,-73.996554
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:23:27,40.625079,-73.962317
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:23:34,40.646588,-74.019529
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:34:01,40.635187,-73.992391
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:34:09,40.632271,-73.947077
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:33:39,40.645686,-74.02345
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:43:32,40.632039,-73.946832
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:43:39,40.646877,-74.011746
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:43:39,40.646877,-74.011746
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:43:39,40.624786,-73.964979
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:53:35,40.632452,-73.947268
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:53:43,40.645686,-74.02345
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:53:43,40.645686,-74.02345
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 05:53:47,40.633397,-73.989423
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:03:39,40.624791,-73.964936
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:03:22,40.63209,-73.946887
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:03:21,40.646386,-74.010932
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:03:21,40.646386,-74.010932
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:13:45,40.63154,-73.986343
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:13:22,40.628904,-73.952115
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:13:33,40.645686,-74.02345
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:13:27,40.632297,-73.947105
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:23:47,40.641318,-74.002534
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:23:50,40.626538,-73.971226
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:23:49,40.645686,-74.02345
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:24:02,40.632375,-73.947186
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:33:53,40.646939,-74.011849
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:33:44,40.633607,-73.98977
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:33:34,40.624796,-73.964893
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:44:18,40.632349,-73.947159
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:44:18,40.632349,-73.947159
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:43:58,40.644338,-74.016597
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:44:06,40.64157,-74.00295
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:44:06,40.64157,-74.00295
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:44:13,40.628489,-73.981297
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:44:13,40.628489,-73.981297
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:53:52,40.625115,-73.961986
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:53:52,40.625115,-73.961986
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:54:02,40.645686,-74.02345
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:54:06,40.63231,-73.947118
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:54:06,40.63231,-73.947118
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:54:05,40.644023,-74.016076
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:54:05,40.644023,-74.016076
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:54:17,40.641616,-74.003027
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:54:17,40.641616,-74.003027
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 06:54:06,40.632271,-73.947077
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:03:21,40.629151,-73.980156
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:03:21,40.629151,-73.980156
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:03:38,40.625244,-73.960793
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:03:38,40.625244,-73.960793
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:03:28,40.6456,-74.018691
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:03:28,40.6456,-74.018691
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:03:48,40.644394,-74.016689
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:03:48,40.644394,-74.016689
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:03:42,40.632329,-73.947139
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:13:17,40.640564,-74.001287
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:13:17,40.640564,-74.001287
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:13:15,40.62664,-73.976377
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:13:15,40.62664,-73.976377
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:13:35,40.633472,-73.952555
FLATBUSH AV/E 31 ST,SUNSET PARK 1 AV - 58 ST,2017-06-01 07:13:20,40.648622,-74.020676
