day,data
1,491
2,501
3,425
4,374
5,505
6,473
7,514
8,521
9,497
10,354
11,384
12,473
13,458
14,513
15,522
16,477
17,415
18,29
19,466
20,526
21,499
22,518
23,541
24,406
25,307
26,498
27,505
28,489
29,515
30,501
