day,data
1,1026
2,1032
3,824
4,831
5,1077
6,1115
7,1033
8,1031
9,1066
10,793
11,837
12,1020
13,1014
14,1067
15,1043
16,1056
17,775
18,851
19,1009
20,1073
21,1036
22,1044
23,1048
24,775
25,835
26,1024
27,1011
28,1024
29,1121
30,1066
