day,data
1,610
2,666
3,565
4,615
5,738
6,740
7,732
8,685
9,758
10,569
11,617
12,703
13,768
14,784
15,796
16,777
17,606
18,337
19,611
20,791
21,823
22,745
23,728
24,593
25,465
26,678
27,709
28,674
29,704
30,750
