OriginName,DestinationName,RecordedAtTime,VehicleLocation_Latitude,VehicleLocation_Longitude
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:03:34,40.63517,-73.960803
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:03:30,40.628821,-73.980484
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:03:32,40.610358,-73.999045
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:03:54,40.649176,-73.91686
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:13:39,40.641242,-73.943749
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:13:42,40.63568,-73.959745
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:13:31,40.630304,-73.978115
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:13:40,40.613263,-74.031137
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:23:46,40.646466,-73.924626
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:23:52,40.641498,-73.939632
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:23:39,40.634408,-73.962392
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:23:43,40.602972,-74.008087
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:33:52,40.656027,-73.908954
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:33:45,40.641289,-73.942987
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:33:36,40.619911,-73.989387
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:43:20,40.649389,-73.916533
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:43:27,40.61404,-74.032609
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:43:09,40.63292,-73.972562
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:53:06,40.604984,-74.005027
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 00:53:14,40.638398,-73.954098
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:03:17,40.627974,-73.981332
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:03:44,40.641992,-73.931613
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:13:52,40.638426,-73.953055
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:13:50,40.655571,-73.915652
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:13:40,40.602928,-74.008003
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:23:11,40.616099,-74.031046
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:23:21,40.641864,-73.933726
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:23:09,40.621964,-73.987314
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:33:19,40.607035,-74.017736
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:33:29,40.656669,-73.913955
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:33:14,40.633804,-73.963653
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:43:57,40.619064,-73.990248
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:43:50,40.641262,-73.943437
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:53:28,40.633431,-73.971483
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 01:53:53,40.650773,-73.917709
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 02:03:25,40.613346,-74.030662
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 02:03:38,40.639204,-73.951241
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 02:13:34,40.603948,-74.009951
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 02:13:51,40.642198,-73.928365
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 02:23:16,40.621928,-73.98735
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 02:23:22,40.655884,-73.912769
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 02:34:04,40.634612,-73.961964
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 02:43:39,40.6417,-73.936346
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 02:53:50,40.653182,-73.919352
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 03:03:43,40.616781,-74.027686
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 03:13:46,40.610387,-73.999016
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 03:23:17,40.632438,-73.97358
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 03:33:51,40.63942,-73.951264
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 03:43:53,40.642374,-73.925485
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 04:04:06,40.614691,-74.022987
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 04:13:39,40.610387,-73.999016
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 04:23:42,40.631353,-73.975884
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 04:33:42,40.638406,-73.954082
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 04:43:50,40.642056,-73.930631
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 04:44:08,40.615632,-74.031285
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 04:53:49,40.654147,-73.917858
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 04:53:49,40.654147,-73.917858
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 04:53:40,40.609968,-74.024688
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:03:45,40.607621,-74.002192
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:03:45,40.607621,-74.002192
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:13:44,40.614783,-74.023179
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:13:46,40.626956,-73.982344
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:13:46,40.626956,-73.982344
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:23:47,40.608954,-74.000542
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:23:47,40.608954,-74.000542
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:23:54,40.633112,-73.965089
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:23:54,40.633112,-73.965089
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:33:56,40.630406,-73.977894
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:33:56,40.630406,-73.977894
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:34:00,40.616769,-74.027171
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:33:59,40.641057,-73.946715
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:33:59,40.641057,-73.946715
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:43:32,40.632985,-73.965353
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:43:32,40.632985,-73.965353
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:43:33,40.602656,-74.007477
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:43:33,40.602656,-74.007477
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:43:29,40.646899,-73.920528
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:43:29,40.646899,-73.920528
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:53:33,40.640915,-73.948994
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:53:33,40.640915,-73.948994
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:53:33,40.617166,-73.992163
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:53:33,40.617166,-73.992163
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 05:53:49,40.615909,-74.031095
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:03:39,40.642884,-73.925276
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:03:39,40.642884,-73.925276
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:03:43,40.632893,-73.972619
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:03:16,40.606945,-74.01794
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:13:43,40.65656,-73.914122
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:13:43,40.65656,-73.914122
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:13:19,40.637159,-73.956664
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:13:19,40.637159,-73.956664
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:13:47,40.611595,-73.997793
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:13:20,40.61555,-74.024736
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:23:49,40.641719,-73.936039
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:23:49,40.641719,-73.936039
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:23:44,40.627974,-73.981332
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:23:56,40.608334,-74.022931
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:23:54,40.603491,-74.006582
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:33:51,40.653086,-73.9195
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:33:51,40.653086,-73.9195
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:33:40,40.633142,-73.965026
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:33:41,40.609788,-74.02459
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:33:27,40.616709,-73.992627
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:44:09,40.640914,-73.949011
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:44:12,40.60738,-74.002492
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:44:13,40.613671,-74.030383
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:44:03,40.632796,-73.972824
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:54:14,40.614036,-74.03007
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:54:07,40.642108,-73.929783
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:54:08,40.617579,-73.991752
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:54:17,40.613671,-74.030383
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 06:54:07,40.636108,-73.958854
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:03:27,40.607501,-74.017184
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:03:35,40.65133,-73.918331
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:03:30,40.62855,-73.980756
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:03:19,40.613671,-74.030383
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:03:35,40.640927,-73.948802
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:13:33,40.609256,-74.000178
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:13:35,40.656222,-73.907638
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:13:33,40.615577,-74.02479
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:13:30,40.63246,-73.96644
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:13:24,40.613671,-74.030383
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:13:38,40.642294,-73.926774
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:24:21,40.622475,-73.986806
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:24:11,40.602947,-74.00804
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:24:08,40.613549,-74.030488
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:24:01,40.640797,-73.950921
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:24:01,40.61363,-74.030418
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:24:13,40.653396,-73.91902
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:33:59,40.632832,-73.972747
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:34:15,40.613595,-73.995775
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:34:18,40.607309,-74.016366
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:33:58,40.641713,-73.93614
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:34:07,40.61363,-74.030418
4 AV/95 ST,BROWNSVILLE ROCKAWAY AV,2017-06-01 07:34:24,40.656065,-73.907254
