OriginName,DestinationName,RecordedAtTime,VehicleLocation.Latitude,VehicleLocation.Longitude
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:03:46,40.902851,-73.849124
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:03:48,40.887728,-73.860495
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:03:23,40.84502,-73.866046
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:03:05,40.824726,-73.859002
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:03:21,40.902981,-73.849409
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:03:27,40.813751,-73.856338
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:13:34,40.867431,-73.867292
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:13:17,40.840706,-73.864271
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:13:32,40.813403,-73.856256
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:13:24,40.903024,-73.849504
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:13:26,40.903089,-73.849645
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:13:09,40.900651,-73.84662
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:13:14,40.814739,-73.856569
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:13:17,40.857118,-73.867616
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:13:25,40.838258,-73.863625
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:13:32,40.826238,-73.859687
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:24:01,40.881337,-73.864003
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:24:17,40.857097,-73.867616
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:23:55,40.83076,-73.861738
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:24:07,40.903024,-73.849504
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:24:11,40.902768,-73.848943
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:24:05,40.81111,-73.855668
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:24:19,40.832485,-73.862517
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:24:13,40.871788,-73.867143
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:24:22,40.852761,-73.867759
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:24:01,40.844046,-73.865694
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:33:50,40.820237,-73.857853
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:34:26,40.89707,-73.855348
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:34:13,40.871272,-73.867174
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:34:23,40.847784,-73.867044
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:34:08,40.902882,-73.849191
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:34:14,40.826768,-73.859927
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:33:56,40.845002,-73.866039
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:34:10,40.88421,-73.862454
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:34:21,40.865172,-73.867369
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:33:57,40.856339,-73.867654
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:15,40.833363,-73.862717
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:18,40.902863,-73.84915
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:11,40.885438,-73.861779
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:17,40.857144,-73.867615
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:13,40.843423,-73.865476
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:22,40.860114,-73.867289
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:10,40.810247,-73.855528
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:04,40.897958,-73.851942
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:02,40.825184,-73.85921
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:17,40.879953,-73.8648
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:44:23,40.873048,-73.867102
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:53:07,40.844489,-73.865854
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:53:32,40.897972,-73.854723
SOUNDVIEW AV/STEPHENS AV,WAKEFIELD 241 ST via WHITE PLS RD,2017-06-01 07:53:12,40.871042,-73.867181
