day,data
1,552
2,611
3,501
4,420
5,571
6,574
7,585
8,556
9,585
10,452
11,449
12,578
13,588
14,598
15,573
16,619
17,503
18,410
19,535
20,582
21,576
22,594
23,592
24,512
25,397
26,532
27,523
28,558
29,558
30,592
