day,data
1,1588
2,1609
3,1113
4,859
5,1532
6,1653
7,1556
8,1656
9,1481
10,1058
11,808
12,1450
13,1449
14,1504
15,1548
16,1450
17,1107
18,793
19,1387
20,1537
21,1490
22,1619
23,1471
24,1070
25,841
26,1567
27,1479
28,1415
29,1501
30,1556
