day,data
1,261
2,327
3,249
4,197
5,281
6,298
7,324
8,331
9,304
10,231
11,239
12,328
13,286
14,327
15,338
16,331
17,206
18,165
19,257
20,321
21,344
22,319
23,353
24,258
25,88
26,329
27,295
28,225
29,272
30,326
