day,data
1,1156
2,1085
3,660
4,506
5,1141
6,1126
7,1161
8,1188
9,1111
10,681
11,505
12,1078
13,1165
14,1045
15,1155
16,1097
17,572
18,477
19,1102
20,1041
21,1168
22,1051
23,1051
24,636
25,474
26,981
27,944
28,1045
29,1055
30,1027
