day,data
1,441
2,444
3,366
4,234
5,394
6,414
7,367
8,464
9,482
10,370
11,221
12,420
13,475
14,540
15,491
16,484
17,357
18,247
19,411
20,453
21,460
22,462
23,488
24,388
25,219
26,402
27,465
28,454
29,463
30,482
