day,data
1,1103
2,1090
3,1079
4,860
5,1098
6,1128
7,1125
8,1140
9,1080
10,1099
11,914
12,1072
13,1066
14,1115
15,1112
16,1131
17,1080
18,903
19,1072
20,1148
21,1121
22,1090
23,1109
24,1105
25,927
26,1088
27,1056
28,1002
29,1053
30,1112
